time,value
0.0,0
0.01,0
0.02,0
0.03,0
0.04,0
0.05,0
0.06,0
0.07,0
0.08,0
0.09,0
0.1,0
0.11,0
0.12,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0
0.18,0
0.19,0
0.2,1
0.21,1
0.22,1
0.23,1
0.24,1
0.25,1
0.26,1
0.27,1
0.28,1
0.29,1
0.3,1
0.31,1
0.32,1
0.33,1
0.34,1
0.35,1
0.36,1
0.37,1
0.38,1
0.39,1
0.4,0
0.41,0
0.42,0
0.43,0
0.44,0
0.45,0
0.46,0
0.47,0
0.48,0
0.49,0
0.5,0
0.51,0
0.52,0
0.53,0
0.54,0
0.55,0
0.56,0
0.57,0
0.58,0
0.59,0
0.6,0
0.61,0
0.62,0
0.63,0
0.64,0
0.65,0
0.66,0
0.67,0
0.68,0
0.69,0
0.70,0
0.71,0
0.72,0
0.73,0
0.74,0
0.75,0
0.76,0
0.77,0
0.78,0
0.79,0
0.8,0
0.81,0
0.82,0
0.83,0
0.84,0
0.85,0
0.86,0
0.87,0
0.88,0
0.89,0
0.9,0
0.91,0
0.92,0
0.93,0
0.94,0
0.95,0
0.96,0
0.97,0
0.98,0
0.99,0
1.0,1
1.01,1
1.02,1
1.03,1
1.04,1
1.05,1
1.06,1
1.07,1
1.08,1
1.09,1
1.1,1
1.11,1
1.12,1
1.13,1
1.14,1
1.15,1
1.16,1
1.17,1
1.18,1
1.19,1
1.2,0
1.21,0
1.22,0
1.23,0
1.24,0
1.25,0
1.26,0
1.27,0
1.28,0
1.29,0
1.3,0
1.31,0
1.32,0
1.33,0
1.34,0
1.35,0
1.36,0
1.37,0
1.38,0
1.39,0
1.40,0
1.41,0
1.42,0
1.43,0
1.44,0
1.45,0
1.46,0
1.47,0
1.48,0
1.49,0
1.5,0
1.51,0
1.52,0
1.53,0
1.54,0
1.55,0
1.56,0
1.57,0
1.58,0
1.59,0
1.6,0
1.61,0
1.62,0
1.63,0
1.64,0
1.65,0
1.6600000000000001,0
1.67,0
1.68,0
1.69,0
1.7,0
1.71,0
1.72,0
1.73,0
1.74,0
1.75,0
1.76,0
1.77,0
1.78,0
1.79,0
1.8,1
1.81,1
1.82,1
1.83,1
1.84,1
1.85,1
1.86,1
1.87,1
1.8800000000000001,1
1.8900000000000001,1
1.9000000000000001,1
1.9100000000000001,1
1.92,1
1.93,1
1.94,1
1.95,1
1.96,1
1.97,1
1.98,1
1.99,1
2.0,1
2.0100000000000002,1
2.02,1
2.0300000000000002,1
2.04,1
2.05,1
2.06,1
2.07,1
2.08,1
2.09,1
2.1,0
2.11,0
2.12,0
2.13,0
2.14,0
2.15,0
2.16,0
2.17,0
2.18,0
2.19,0
2.2,1
2.21,1
2.22,1
2.23,1
2.24,1
2.25,1
2.2600000000000002,1
2.27,1
2.2800000000000002,1
2.29,1
2.3000000000000003,0
2.31,0
2.32,0
2.33,0
2.34,0
2.35,0
2.36,0
2.37,0
2.38,0
2.39,0
2.4,0
2.41,0
2.42,0
2.43,0
2.44,0
2.45,0
2.46,0
2.47,0
2.48,0
2.49,0
2.5,0
2.5100000000000002,0
2.52,0
2.5300000000000002,0
2.54,0
2.5500000000000003,0
2.56,0
2.57,0
2.58,0
2.59,0
2.6,1
2.61,1
2.62,1
2.63,1
2.64,1
2.65,1
2.66,1
2.67,1
2.68,1
2.69,1
2.7,1
2.71,1
2.72,1
2.73,1
2.74,1
2.75,1
2.7600000000000002,1
2.77,1
2.7800000000000002,1
2.79,1
2.8000000000000003,0
2.81,0
2.82,0
2.83,0
2.84,0
2.85,0
2.86,0
2.87,0
2.88,0
2.89,0
2.9,0
2.91,0
2.92,0
2.93,0
2.94,0
2.95,0
2.96,0
2.97,0
2.98,0
2.99,0
3.0,0
3.0100000000000002,0
3.02,0
3.0300000000000002,0
3.04,0
3.0500000000000003,0
3.06,0
3.0700000000000003,0
3.08,0
3.09,0
3.1,1
3.11,1
3.12,1
3.13,1
3.14,1
3.15,1
3.16,1
3.17,1
3.18,1
3.19,1
3.2,0
3.21,0
3.22,0
3.23,0
3.24,0
3.25,0
3.2600000000000002,0
3.27,0
3.2800000000000002,0
3.29,0
3.3000000000000003,1
3.31,1
3.3200000000000003,1
3.33,1
3.34,1
3.35,1
3.36,1
3.37,1
3.38,1
3.39,1
3.4,1
3.41,1
3.42,1
3.43,1
3.44,1
3.45,1
3.46,1
3.47,1
3.48,1
3.49,1
3.5,0
3.5100000000000002,0
3.52,0
3.5300000000000002,0
3.54,0
3.5500000000000003,0
3.56,0
3.5700000000000003,0
3.58,0
3.59,0
3.6,0
3.61,0
3.62,0
3.63,0
3.64,0
3.65,0
3.66,0
3.67,0
3.68,0
3.69,0
3.7,0
3.71,0
3.72,0
3.73,0
3.74,0
3.75,0
3.7600000000000002,0
3.77,0
3.7800000000000002,0
3.79,0
3.8000000000000003,0
3.81,0
3.8200000000000003,0
3.83,0
3.84,0
3.85,0
3.86,0
3.87,0
3.88,0
3.89,0
3.9,1
3.91,1
3.92,1
3.93,1
3.94,1
3.95,1
3.96,1
3.97,1
3.98,1
3.99,1
4.0,0
4.01,0
4.0200000000000005,0
4.03,0
4.04,0
4.05,0
4.0600000000000005,0
4.07,0
4.08,0
4.09,0
4.1,0
4.11,0
4.12,0
4.13,0
4.14,0
4.15,0
4.16,0
4.17,0
4.18,0
4.19,0
4.2,1
4.21,1
4.22,1
4.23,1
4.24,1
4.25,1
4.26,1
4.2700000000000005,1
4.28,1
4.29,1
4.3,1
4.3100000000000005,1
4.32,1
4.33,1
4.34,1
4.3500000000000005,1
4.36,1
4.37,1
4.38,1
4.39,1
4.4,1
4.41,1
4.42,1
4.43,1
4.44,1
4.45,1
4.46,1
4.47,1
4.48,1
4.49,1
4.5,0
4.51,0
4.5200000000000005,0
4.53,0
4.54,0
4.55,0
4.5600000000000005,0
4.57,0
4.58,0
4.59,0
4.6000000000000005,1
4.61,1
4.62,1
4.63,1
4.64,1
4.65,1
4.66,1
4.67,1
4.68,1
4.69,1
4.7,0
4.71,0
4.72,0
4.73,0
4.74,0
4.75,0
4.76,0
4.7700000000000005,0
4.78,0
4.79,0
4.8,0
4.8100000000000005,0
4.82,0
4.83,0
4.84,0
4.8500000000000005,0
4.86,0
4.87,0
4.88,0
4.89,0
4.9,1
4.91,1
4.92,1
4.93,1
4.94,1
4.95,1
4.96,1
4.97,1
4.98,1
4.99,1
5.0,1
5.01,1
5.0200000000000005,1
5.03,1
5.04,1
5.05,1
5.0600000000000005,1
5.07,1
5.08,1
5.09,1
5.1000000000000005,0
5.11,0
5.12,0
5.13,0
5.14,0
5.15,0
5.16,0
5.17,0
5.18,0
5.19,0
5.2,0
5.21,0
5.22,0
5.23,0
5.24,0
5.25,0
5.26,0
5.2700000000000005,0
5.28,0
5.29,0
5.3,0
5.3100000000000005,0
5.32,0
5.33,0
5.34,0
5.3500000000000005,0
5.36,0
5.37,0
5.38,0
5.39,0
5.4,1
5.41,1
5.42,1
5.43,1
5.44,1
5.45,1
5.46,1
5.47,1
5.48,1
5.49,1
5.5,1
5.51,1
5.5200000000000005,1
5.53,1
5.54,1
5.55,1
5.5600000000000005,1
5.57,1
5.58,1
5.59,1
5.6000000000000005,0
5.61,0
5.62,0
5.63,0
5.64,0
5.65,0
5.66,0
5.67,0
5.68,0
5.69,0
5.7,1
5.71,1
5.72,1
5.73,1
5.74,1
5.75,1
5.76,1
5.7700000000000005,1
5.78,1
5.79,1
5.8,1
5.8100000000000005,1
5.82,1
5.83,1
5.84,1
5.8500000000000005,1
5.86,1
5.87,1
5.88,1
5.89,1
5.9,0
5.91,0
5.92,0
5.93,0
5.94,0
5.95,0
5.96,0
5.97,0
5.98,0
5.99,0
6.0,0
6.01,0
6.0200000000000005,0
6.03,0
6.04,0
6.05,0
6.0600000000000005,0
6.07,0
6.08,0
6.09,0
6.1000000000000005,1
6.11,1
6.12,1
6.13,1
6.140000000000001,1
6.15,1
6.16,1
6.17,1
6.18,1
6.19,1
6.2,0
6.21,0
6.22,0
6.23,0
6.24,0
6.25,0
6.26,0
6.2700000000000005,0
6.28,0
6.29,0
6.3,0
6.3100000000000005,0
6.32,0
6.33,0
6.34,0
6.3500000000000005,0
6.36,0
6.37,0
6.38,0
6.390000000000001,0
6.4,0
6.41,0
6.42,0
6.43,0
6.44,0
6.45,0
6.46,0
6.47,0
6.48,0
6.49,0
6.5,0
6.51,0
6.5200000000000005,0
6.53,0
6.54,0
6.55,0
6.5600000000000005,0
6.57,0
6.58,0
6.59,0
6.6000000000000005,1
6.61,1
6.62,1
6.63,1
6.640000000000001,1
6.65,1
6.66,1
6.67,1
6.68,1
6.69,1
6.7,1
6.71,1
6.72,1
6.73,1
6.74,1
6.75,1
6.76,1
6.7700000000000005,1
6.78,1
6.79,1
6.8,1
6.8100000000000005,1
6.82,1
6.83,1
6.84,1
6.8500000000000005,1
6.86,1
6.87,1
6.88,1
6.890000000000001,1
6.9,0
6.91,0
6.92,0
6.93,0
6.94,0
6.95,0
6.96,0
6.97,0
6.98,0
6.99,0
7.0,1
7.01,1
7.0200000000000005,1
7.03,1
7.04,1
7.05,1
7.0600000000000005,1
7.07,1
7.08,1
7.09,1
7.1000000000000005,0
7.11,0
7.12,0
7.13,0
7.140000000000001,0
7.15,0
7.16,0
7.17,0
7.18,0
7.19,0
7.2,0
7.21,0
7.22,0
7.23,0
7.24,0
7.25,0
7.26,0
7.2700000000000005,0
7.28,0
7.29,0
7.3,1
7.3100000000000005,1
7.32,1
7.33,1
7.34,1
7.3500000000000005,1
7.36,1
7.37,1
7.38,1
7.390000000000001,1
7.4,1
7.41,1
7.42,1
7.43,1
7.44,1
7.45,1
7.46,1
7.47,1
7.48,1
7.49,1
7.5,0
7.51,0
7.5200000000000005,0
7.53,0
7.54,0
7.55,0
7.5600000000000005,0
7.57,0
7.58,0
7.59,0
7.6000000000000005,0
7.61,0
7.62,0
7.63,0
7.640000000000001,0
7.65,0
7.66,0
7.67,0
7.68,0
7.69,0
7.7,1
7.71,1
7.72,1
7.73,1
7.74,1
7.75,1
7.76,1
7.7700000000000005,1
7.78,1
7.79,1
7.8,0
7.8100000000000005,0
7.82,0
7.83,0
7.84,0
7.8500000000000005,0
7.86,0
7.87,0
7.88,0
7.890000000000001,0
7.9,1
7.91,1
7.92,1
7.930000000000001,1
7.94,1
7.95,1
7.96,1
7.97,1
7.98,1
7.99,1
8.0,0
8.01,0
8.02,0
8.03,0
8.040000000000001,0
8.05,0
8.06,0
8.07,0
8.08,0
8.09,0
8.1,1
8.11,1
8.120000000000001,1
8.13,1
8.14,1
8.15,1
8.16,1
8.17,1
8.18,1
8.19,1
8.2,1
8.21,1
8.22,1
8.23,1
8.24,1
8.25,1
8.26,1
8.27,1
8.28,1
8.290000000000001,1
8.3,0
8.31,0
8.32,0
8.33,0
8.34,0
8.35,0
8.36,0
8.370000000000001,0
8.38,0
8.39,0
8.4,0
8.41,0
8.42,0
8.43,0
8.44,0
8.45,0
8.46,0
8.47,0
8.48,0
8.49,0
8.5,1
8.51,1
8.52,1
8.53,1
8.540000000000001,1
8.55,1
8.56,1
8.57,1
8.58,1
8.59,1
8.6,1
8.61,1
8.620000000000001,1
8.63,1
8.64,1
8.65,1
8.66,1
8.67,1
8.68,1
8.69,1
8.700000000000001,0
8.71,0
8.72,0
8.73,0
8.74,0
8.75,0
8.76,0
8.77,0
8.78,0
8.790000000000001,0
8.8,0
8.81,0
8.82,0
8.83,0
8.84,0
8.85,0
8.86,0
8.870000000000001,0
8.88,0
8.89,0
8.9,0
8.91,0
8.92,0
8.93,0
8.94,0
8.950000000000001,0
8.96,0
8.97,0
8.98,0
8.99,0
9.0,1
9.01,1
9.02,1
9.03,1
9.040000000000001,1
9.05,1
9.06,1
9.07,1
9.08,1
9.09,1
9.1,1
9.11,1
9.120000000000001,1
9.13,1
9.14,1
9.15,1
9.16,1
9.17,1
9.18,1
9.19,1
9.200000000000001,1
9.21,1
9.22,1
9.23,1
9.24,1
9.25,1
9.26,1
9.27,1
9.28,1
9.290000000000001,1
9.3,0
9.31,0
9.32,0
9.33,0
9.34,0
9.35,0
9.36,0
9.370000000000001,0
9.38,0
9.39,0
9.4,1
9.41,1
9.42,1
9.43,1
9.44,1
9.450000000000001,1
9.46,1
9.47,1
9.48,1
9.49,1
9.5,0
9.51,0
9.52,0
9.53,0
9.540000000000001,0
9.55,0
9.56,0
9.57,0
9.58,0
9.59,0
9.6,0
9.61,0
9.620000000000001,0
9.63,0
9.64,0
9.65,0
9.66,0
9.67,0
9.68,0
9.69,0
9.700000000000001,0
9.71,0
9.72,0
9.73,0
9.74,0
9.75,0
9.76,0
9.77,0
9.78,0
9.790000000000001,0
9.8,1
9.81,1
9.82,1
9.83,1
9.84,1
9.85,1
9.86,1
9.870000000000001,1
9.88,1
9.89,1
9.9,1
9.91,1
9.92,1
9.93,1
9.94,1
9.950000000000001,1
9.96,1
9.97,1
9.98,1
9.99,1
10.0,0
10.01,0
10.02,0
10.03,0
10.040000000000001,0
10.05,0
10.06,0
10.07,0
10.08,0
10.09,0
10.1,1
10.11,1
10.120000000000001,1
10.13,1
10.14,1
10.15,1
10.16,1
10.17,1
10.18,1
10.19,1
10.200000000000001,0
10.21,0
10.22,0
10.23,0
10.24,0
10.25,0
10.26,0
10.27,0
10.28,0
10.290000000000001,0
10.3,0
10.31,0
10.32,0
10.33,0
10.34,0
10.35,0
10.36,0
10.370000000000001,0
10.38,0
10.39,0
10.4,0
10.41,0
10.42,0
10.43,0
10.44,0
10.450000000000001,0
10.46,0
10.47,0
10.48,0
10.49,0
10.5,0
10.51,0
10.52,0
10.53,0
10.540000000000001,0
10.55,0
10.56,0
10.57,0
10.58,0
10.59,0
10.6,1
10.61,1
10.620000000000001,1
10.63,1
10.64,1
10.65,1
10.66,1
10.67,1
10.68,1
10.69,1
10.700000000000001,1
10.71,1
10.72,1
10.73,1
10.74,1
10.75,1
10.76,1
10.77,1
10.78,1
10.790000000000001,1
10.8,0
10.81,0
10.82,0
10.83,0
10.84,0
10.85,0
10.86,0
10.870000000000001,0
10.88,0
10.89,0
10.9,0
10.91,0
10.92,0
10.93,0
10.94,0
10.950000000000001,0
10.96,0
10.97,0
10.98,0
10.99,0
11.0,1
11.01,1
11.02,1
11.03,1
11.040000000000001,1
11.05,1
11.06,1
11.07,1
11.08,1
11.09,1
11.1,0
11.11,0
11.120000000000001,0
11.13,0
11.14,0
11.15,0
11.16,0
11.17,0
11.18,0
11.19,0
11.200000000000001,0
11.21,0
11.22,0
11.23,0
11.24,0
11.25,0
11.26,0
11.27,0
11.28,0
11.290000000000001,0
11.3,0
11.31,0
11.32,0
11.33,0
11.34,0
11.35,0
11.36,0
11.370000000000001,0
11.38,0
11.39,0
11.4,1
11.41,1
11.42,1
11.43,1
11.44,1
11.450000000000001,1
11.46,1
11.47,1
11.48,1
11.49,1
11.5,1
11.51,1
11.52,1
11.53,1
11.540000000000001,1
11.55,1
11.56,1
11.57,1
11.58,1
11.59,1
11.6,1
11.61,1
11.620000000000001,1
11.63,1
11.64,1
11.65,1
11.66,1
11.67,1
11.68,1
11.69,1
11.700000000000001,0
11.71,0
11.72,0
11.73,0
11.74,0
11.75,0
11.76,0
11.77,0
11.78,0
11.790000000000001,0
11.8,1
11.81,1
11.82,1
11.83,1
11.84,1
11.85,1
11.86,1
11.870000000000001,1
11.88,1
11.89,1
11.9,0
11.91,0
11.92,0
11.93,0
11.94,0
11.950000000000001,0
11.96,0
11.97,0
11.98,0
11.99,0
12.0,0
12.01,0
12.02,0
12.030000000000001,0
12.040000000000001,0
12.05,0
12.06,0
12.07,0
12.08,0
12.09,0
12.1,0
12.11,0
12.120000000000001,0
12.13,0
12.14,0
12.15,0
12.16,0
12.17,0
12.18,0
12.19,0
12.200000000000001,1
12.21,1
12.22,1
12.23,1
12.24,1
12.25,1
12.26,1
12.27,1
12.280000000000001,1
12.290000000000001,1
12.3,1
12.31,1
12.32,1
12.33,1
12.34,1
12.35,1
12.36,1
12.370000000000001,1
12.38,1
12.39,1
12.4,0
12.41,0
12.42,0
12.43,0
12.44,0
12.450000000000001,0
12.46,0
12.47,0
12.48,0
12.49,0
12.5,0
12.51,0
12.52,0
12.530000000000001,0
12.540000000000001,0
12.55,0
12.56,0
12.57,0
12.58,0
12.59,0
12.6,0
12.61,0
12.620000000000001,0
12.63,0
12.64,0
12.65,0
12.66,0
12.67,0
12.68,0
12.69,0
12.700000000000001,0
12.71,0
12.72,0
12.73,0
12.74,0
12.75,0
12.76,0
12.77,0
12.780000000000001,0
12.790000000000001,0
12.8,0
12.81,0
12.82,0
12.83,0
12.84,0
12.85,0
12.86,0
12.870000000000001,0
12.88,0
12.89,0
12.9,0
12.91,0
12.92,0
12.93,0
12.94,0
12.950000000000001,0
12.96,0
12.97,0
12.98,0
12.99,0
13.0,1
13.01,1
13.02,1
13.030000000000001,1
13.040000000000001,1
13.05,1
13.06,1
13.07,1
13.08,1
13.09,1
13.1,1
13.11,1
13.120000000000001,1
13.13,1
13.14,1
13.15,1
13.16,1
13.17,1
13.18,1
13.19,1
13.200000000000001,0
13.21,0
13.22,0
13.23,0
13.24,0
13.25,0
13.26,0
13.27,0
13.280000000000001,0
13.290000000000001,0
13.3,0
13.31,0
13.32,0
13.33,0
13.34,0
13.35,0
13.36,0
13.370000000000001,0
13.38,0
13.39,0
13.4,0
13.41,0
13.42,0
13.43,0
13.44,0
13.450000000000001,0
13.46,0
13.47,0
13.48,0
13.49,0
13.5,0
13.51,0
13.52,0
13.530000000000001,0
13.540000000000001,0
13.55,0
13.56,0
13.57,0
13.58,0
13.59,0
